img_id,version,ambiguous,r_id,directory,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthPucker,noseSneerLeft,noseSneerRight,cheekSquintLeft,cheekSquintRight
19_neutral,g,True,mediapipe,Modified_images,0.0422,0.0265,0.0026,0.1043,0.0661,0.347,0.1598,0.0342,0.0186,0.0047,0.0001,0.0001,0.0016,0.0022,0.4673,0.0,0.0,0.0,0.0
19_neutral,l,True,mediapipe,Modified_images,0.0696,0.0621,0.033,0.0937,0.0337,0.2823,0.1336,0.0203,0.0182,0.0035,0.0001,0.0001,0.004,0.0054,0.335,0.0,0.0,0.0,0.0
19_neutral,o,True,mediapipe,Modified_images,0.0459,0.0268,0.0028,0.0979,0.0684,0.3273,0.1513,0.0352,0.0233,0.0047,0.0001,0.0001,0.0018,0.0022,0.4994,0.0,0.0,0.0,0.0
1_angry,b,False,mediapipe,Modified_images,0.3561,0.4951,0.0003,0.0087,0.0021,0.4899,0.351,0.0069,0.0043,0.002,0.0005,0.0005,0.1487,0.1819,0.0685,0.0,0.0,0.0,0.0
1_angry,g,False,mediapipe,Modified_images,0.6025,0.6762,0.0001,0.0019,0.0006,0.6143,0.5366,0.0052,0.0039,0.0016,0.0018,0.0011,0.1348,0.1739,0.0353,0.0,0.0,0.0,0.0
1_angry,l,False,mediapipe,Modified_images,0.4476,0.5918,0.0001,0.0039,0.0009,0.631,0.4548,0.0175,0.0088,0.0016,0.0014,0.0016,0.2738,0.318,0.0162,0.0,0.0,0.0,0.0
1_angry,o,False,mediapipe,Modified_images,0.6735,0.6899,0.0,0.0013,0.0008,0.6178,0.4923,0.0048,0.0041,0.0011,0.0056,0.0032,0.0989,0.1274,0.0242,0.0,0.0,0.0,0.0
20_sad,b,True,mediapipe,Modified_images,0.0018,0.0028,0.125,0.6732,0.3155,0.3509,0.1206,0.014,0.0079,0.0066,0.0,0.0001,0.0078,0.0103,0.5331,0.0,0.0,0.0,0.0
20_sad,g,True,mediapipe,Modified_images,0.0014,0.0021,0.1922,0.7134,0.2944,0.412,0.2364,0.0091,0.005,0.0034,0.0003,0.0005,0.0108,0.0106,0.5572,0.0,0.0,0.0,0.0
20_sad,l,True,mediapipe,Modified_images,0.0008,0.001,0.3434,0.726,0.3722,0.3953,0.1871,0.0127,0.0141,0.0024,0.0004,0.0003,0.0523,0.0888,0.3319,0.0,0.0,0.0,0.0
20_sad,o,True,mediapipe,Modified_images,0.0028,0.0037,0.1068,0.6816,0.3072,0.3744,0.2295,0.0109,0.0067,0.0027,0.0011,0.0025,0.0158,0.0124,0.5762,0.0,0.0,0.0,0.0
21_surprise,b,False,mediapipe,Modified_images,0.0045,0.0038,0.4058,0.1765,0.1194,0.0112,0.0047,0.1593,0.3426,0.7483,0.0,0.0,0.0,0.0,0.848,0.0,0.0,0.0,0.0
21_surprise,g,False,mediapipe,Modified_images,0.0011,0.0007,0.6836,0.459,0.3211,0.0103,0.0058,0.3851,0.4899,0.8193,0.0,0.0,0.0,0.0,0.9313,0.0,0.0,0.0,0.0
21_surprise,l,False,mediapipe,Modified_images,0.0012,0.0009,0.5763,0.259,0.155,0.0615,0.0254,0.0666,0.1708,0.7776,0.0,0.0,0.0,0.0,0.7535,0.0,0.0,0.0,0.0
21_surprise,o,False,mediapipe,Modified_images,0.0014,0.0017,0.5303,0.3337,0.1849,0.0049,0.004,0.3391,0.5047,0.6777,0.0,0.0,0.0,0.0,0.9478,0.0,0.0,0.0,0.0
22_angry,b,False,mediapipe,Modified_images,0.132,0.2768,0.0002,0.0766,0.0159,0.4158,0.2911,0.01,0.0084,0.0238,0.0,0.0,0.0,0.0,0.653,0.0,0.0,0.0,0.0
22_angry,g,False,mediapipe,Modified_images,0.0242,0.055,0.002,0.263,0.0927,0.3862,0.2939,0.0187,0.0158,0.0264,0.0001,0.0,0.0,0.0,0.0959,0.0,0.0,0.0,0.0
22_angry,l,False,mediapipe,Modified_images,0.2496,0.3542,0.0029,0.0153,0.0079,0.3025,0.278,0.0133,0.0179,0.0252,0.0,0.0,0.0008,0.0008,0.2771,0.0,0.0,0.0,0.0
22_angry,o,False,mediapipe,Modified_images,0.0329,0.1199,0.0006,0.2094,0.0456,0.4112,0.428,0.014,0.0095,0.0214,0.0001,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
23_disgust,b,False,mediapipe,Modified_images,0.5324,0.6128,0.0001,0.0043,0.0016,0.4461,0.5241,0.0051,0.0041,0.0071,0.0005,0.0005,0.0014,0.0019,0.0806,0.0,0.0,0.0,0.0
23_disgust,g,False,mediapipe,Modified_images,0.6581,0.6964,0.0,0.0016,0.0011,0.5282,0.5087,0.0057,0.0047,0.0083,0.0004,0.0003,0.0018,0.0027,0.0833,0.0,0.0,0.0,0.0
23_disgust,l,False,mediapipe,Modified_images,0.5224,0.6002,0.0001,0.0035,0.0016,0.455,0.6235,0.0045,0.0062,0.0102,0.0007,0.0007,0.0048,0.0069,0.0269,0.0,0.0,0.0,0.0
23_disgust,o,False,mediapipe,Modified_images,0.6639,0.6929,0.0,0.0018,0.0011,0.4513,0.4626,0.0071,0.0077,0.0065,0.0002,0.0002,0.0012,0.0015,0.156,0.0,0.0,0.0,0.0
24_fear,b,False,mediapipe,Modified_images,0.0403,0.0069,0.6423,0.0077,0.0163,0.1157,0.0267,0.0283,0.0384,0.0054,0.0001,0.0001,0.0256,0.0431,0.1606,0.0,0.0,0.0,0.0
24_fear,g,False,mediapipe,Modified_images,0.1677,0.0466,0.3111,0.0019,0.0061,0.1073,0.0185,0.059,0.0689,0.0033,0.0001,0.0,0.0192,0.0391,0.2354,0.0,0.0,0.0,0.0
24_fear,l,False,mediapipe,Modified_images,0.0912,0.0253,0.2713,0.0071,0.0155,0.2901,0.0612,0.0175,0.0185,0.016,0.0002,0.0001,0.067,0.0816,0.037,0.0,0.0,0.0,0.0
24_fear,o,False,mediapipe,Modified_images,0.2324,0.0514,0.2496,0.0015,0.0055,0.1429,0.0291,0.0444,0.0498,0.002,0.0002,0.0002,0.0253,0.043,0.2779,0.0,0.0,0.0,0.0
