img_id,ambiguous,source,version,version_name,cosine_to_original,mean_absolute_change,entropy_change
17_fear,True,Humans (version-specific),b,Blur,0.7272219786288197,0.11857707509881422,-0.1708702941798974
17_fear,True,Humans (version-specific),g,Greyscale,0.8869574857962208,0.1038961038961039,-0.4570309229219043
17_fear,True,Humans (version-specific),l,Low resolution,0.40794006219005097,0.17965367965367965,-0.5196733941432345
18_happy,True,Humans (version-specific),b,Blur,0.8464322368801112,0.10204081632653061,-0.3194868646095121
18_happy,True,Humans (version-specific),g,Greyscale,0.9596450644356112,0.0533751962323391,-0.10670147432880894
18_happy,True,Humans (version-specific),l,Low resolution,0.9614822035714802,0.052721088435374146,-0.2725158676104254
19_neutral,True,Humans (version-specific),b,Blur,0.9464758511305339,0.04204491161012901,-0.0693582211142435
19_neutral,True,Humans (version-specific),g,Greyscale,0.9621242435929414,0.05014952841039798,-0.08562174372506581
19_neutral,True,Humans (version-specific),l,Low resolution,0.8647049330937013,0.07867494824016563,0.19903888699443983
1_angry,False,Humans (version-specific),b,Blur,0.9805633456878432,0.04195804195804196,0.2073719127492269
1_angry,False,Humans (version-specific),g,Greyscale,0.93885211773158,0.08403361344537817,0.39354961113033265
1_angry,False,Humans (version-specific),l,Low resolution,0.9565534366528158,0.07692307692307691,0.35529452512964527
20_sad,True,Humans (version-specific),b,Blur,0.436995065550004,0.19999999999999998,0.43376561825111254
20_sad,True,Humans (version-specific),g,Greyscale,0.4580641068144919,0.1978021978021978,0.5040172830710254
20_sad,True,Humans (version-specific),l,Low resolution,0.5956085008866426,0.16553287981859408,0.48756135940420314
21_surprise,False,Humans (version-specific),b,Blur,0.97182531580755,0.08333333333333333,0.47193510583061543
21_surprise,False,Humans (version-specific),g,Greyscale,0.9945054529214059,0.027210884353741496,0.16161702092673091
21_surprise,False,Humans (version-specific),l,Low resolution,0.9486832980505138,0.07142857142857142,0.28898309867585964
22_angry,False,Humans (version-specific),b,Blur,0.9653278674479051,0.05714285714285713,-0.10060399052031713
22_angry,False,Humans (version-specific),g,Greyscale,0.823529411764706,0.10612244897959185,0.2973363310840868
22_angry,False,Humans (version-specific),l,Low resolution,0.9470405551763815,0.05714285714285715,-0.013496568941325754
23_disgust,False,Humans (version-specific),b,Blur,0.8692461445112777,0.09090909090909091,0.20494780236162163
23_disgust,False,Humans (version-specific),g,Greyscale,0.940735271765315,0.06493506493506494,-0.04388624027238422
23_disgust,False,Humans (version-specific),l,Low resolution,0.9424906630890505,0.07331378299120235,0.3217403297022978
24_fear,False,Humans (version-specific),b,Blur,0.8448589411932211,0.09781843771991557,-0.23546895834858889
24_fear,False,Humans (version-specific),g,Greyscale,0.9197751530577514,0.054981725726998255,-0.06937639317864619
24_fear,False,Humans (version-specific),l,Low resolution,0.8702124219323033,0.06896551724137931,-0.13516372746743777
