mediapipe_feature,target,n,pearson_correlation
jawOpen,deepface_human_similarity,139,0.31077479055003665
jawOpen,fer_human_similarity,130,0.2933210856193259
mouthSmileLeft,human_pooled_reference_angry,139,-0.22099502352327083
mouthSmileLeft,human_pooled_reference_disgust,139,0.1537399582080186
mouthSmileLeft,human_pooled_reference_fear,139,-0.23499764326011469
mouthSmileLeft,human_pooled_reference_happy,139,0.6792068804816922
mouthSmileLeft,human_pooled_reference_sad,139,-0.22305941030336549
mouthSmileLeft,human_pooled_reference_surprise,139,-0.15571859750035352
mouthSmileLeft,human_pooled_reference_neutral,139,-0.011076987703604045
mouthSmileLeft,fer_angry,130,-0.1927716784706698
mouthSmileLeft,fer_disgust,130,0.05867298697720831
mouthSmileLeft,fer_fear,130,-0.2515000828703374
mouthSmileLeft,fer_happy,130,0.797008708897924
mouthSmileLeft,fer_sad,130,-0.1351622663347837
mouthSmileLeft,fer_surprise,130,-0.1966967282277833
mouthSmileLeft,fer_neutral,130,-0.04337507088747003
mouthSmileLeft,deepface_angry,140,-0.17436827197340574
mouthSmileLeft,deepface_disgust,140,0.15448385811970783
mouthSmileLeft,deepface_fear,140,-0.211502782604444
mouthSmileLeft,deepface_happy,140,0.6258583284639798
mouthSmileLeft,deepface_sad,140,0.01461445443254942
mouthSmileLeft,deepface_surprise,140,-0.20393141537443457
mouthSmileLeft,deepface_neutral,140,-0.11038666905018774
mouthSmileLeft,deepface_human_similarity,139,0.13327499188503497
mouthSmileLeft,fer_human_similarity,130,-0.11814949566578638
mouthSmileRight,human_pooled_reference_angry,139,-0.21580469660457252
mouthSmileRight,human_pooled_reference_disgust,139,0.11880479256987735
mouthSmileRight,human_pooled_reference_fear,139,-0.22794428110854476
mouthSmileRight,human_pooled_reference_happy,139,0.7110465808713456
mouthSmileRight,human_pooled_reference_sad,139,-0.21434085031087236
mouthSmileRight,human_pooled_reference_surprise,139,-0.15430074943406258
mouthSmileRight,human_pooled_reference_neutral,139,-0.027321954473307087
mouthSmileRight,fer_angry,130,-0.20695278380388946
mouthSmileRight,fer_disgust,130,0.039939820797089944
mouthSmileRight,fer_fear,130,-0.24401121397583453
mouthSmileRight,fer_happy,130,0.834450834082584
mouthSmileRight,fer_sad,130,-0.1389199141514607
mouthSmileRight,fer_surprise,130,-0.1824069267628858
mouthSmileRight,fer_neutral,130,-0.07543131749303125
mouthSmileRight,deepface_angry,140,-0.16863943912100232
mouthSmileRight,deepface_disgust,140,0.1290049071431936
mouthSmileRight,deepface_fear,140,-0.20727420203745595
mouthSmileRight,deepface_happy,140,0.6477114056155502
mouthSmileRight,deepface_sad,140,-0.013444590554527914
mouthSmileRight,deepface_surprise,140,-0.1935638954599118
mouthSmileRight,deepface_neutral,140,-0.11877365166491273
mouthSmileRight,deepface_human_similarity,139,0.14971564739902837
mouthSmileRight,fer_human_similarity,130,-0.07138523417121115
mouthFrownLeft,human_pooled_reference_angry,139,0.027223256633846383
mouthFrownLeft,human_pooled_reference_disgust,139,0.15883890427768035
mouthFrownLeft,human_pooled_reference_fear,139,0.08510399423207754
mouthFrownLeft,human_pooled_reference_happy,139,0.06172784346476807
mouthFrownLeft,human_pooled_reference_sad,139,0.0024234456389894744
mouthFrownLeft,human_pooled_reference_surprise,139,-0.10096044577610878
mouthFrownLeft,human_pooled_reference_neutral,139,-0.15905872501023696
mouthFrownLeft,fer_angry,130,0.02213518756158611
mouthFrownLeft,fer_disgust,130,-0.14159513972442744
mouthFrownLeft,fer_fear,130,0.1356029862528055
mouthFrownLeft,fer_happy,130,0.01041091519881573
mouthFrownLeft,fer_sad,130,-0.056732539410568994
mouthFrownLeft,fer_surprise,130,-0.10567256668553171
mouthFrownLeft,fer_neutral,130,0.020907049929505293
mouthFrownLeft,deepface_angry,140,0.25107431005053293
mouthFrownLeft,deepface_disgust,140,-0.06514788040053275
mouthFrownLeft,deepface_fear,140,0.06610264867048207
mouthFrownLeft,deepface_happy,140,0.04416902565316137
mouthFrownLeft,deepface_sad,140,-0.014371653655420622
mouthFrownLeft,deepface_surprise,140,-0.08480811711990814
mouthFrownLeft,deepface_neutral,140,-0.20567483562252448
mouthFrownLeft,deepface_human_similarity,139,0.13599372036511154
mouthFrownLeft,fer_human_similarity,130,-0.08633063532701232
mouthFrownRight,human_pooled_reference_angry,139,0.052744849860700355
mouthFrownRight,human_pooled_reference_disgust,139,0.16548354159452744
mouthFrownRight,human_pooled_reference_fear,139,0.09396679829337336
mouthFrownRight,human_pooled_reference_happy,139,0.010706887879942553
mouthFrownRight,human_pooled_reference_sad,139,0.018584362519026277
mouthFrownRight,human_pooled_reference_surprise,139,-0.10050403891493838
mouthFrownRight,human_pooled_reference_neutral,139,-0.1663248809766701
mouthFrownRight,fer_angry,130,0.039728113007958185
mouthFrownRight,fer_disgust,130,-0.14132148503197653
mouthFrownRight,fer_fear,130,0.16588487445202207
mouthFrownRight,fer_happy,130,-0.008588220470845773
mouthFrownRight,fer_sad,130,-0.030645553404516433
mouthFrownRight,fer_surprise,130,-0.10938726504480581
mouthFrownRight,fer_neutral,130,-0.023032912445397808
mouthFrownRight,deepface_angry,140,0.2800034682946747
mouthFrownRight,deepface_disgust,140,-0.06448222278825316
mouthFrownRight,deepface_fear,140,0.06958735289668883
mouthFrownRight,deepface_happy,140,-0.004620874951059142
mouthFrownRight,deepface_sad,140,0.0035467736998706792
mouthFrownRight,deepface_surprise,140,-0.09020059604160416
mouthFrownRight,deepface_neutral,140,-0.20179032065984256
mouthFrownRight,deepface_human_similarity,139,0.13672457973706456
mouthFrownRight,fer_human_similarity,130,-0.07326415142597867
mouthPucker,human_pooled_reference_angry,139,0.10118873379810081
mouthPucker,human_pooled_reference_disgust,139,-0.25307133101813156
mouthPucker,human_pooled_reference_fear,139,-0.12112818260667266
mouthPucker,human_pooled_reference_happy,139,-0.27041392221563715
mouthPucker,human_pooled_reference_sad,139,0.1450145097596252
mouthPucker,human_pooled_reference_surprise,139,0.18155255236010062
mouthPucker,human_pooled_reference_neutral,139,0.08096430673966216
mouthPucker,fer_angry,130,-0.14045700510341602
mouthPucker,fer_disgust,130,-0.10244178537211715
